"sample_id","sample_path","value_type_primary","ladder_level","grade","frame116_count","duration_min","seed_touch_present","ramp_present","phase_plateau_present","phase_exit_present","joined_lifecycle_strength","family_131_primary_zone","family_260_primary_zone","family_131_260_aligned","family_fff4_presence","corridor_match_strength","id_2e4_activity_level","id_d8_structural_reference_strength","companion_primary_mode","companion_b45_abs_corr","companion_b67_abs_corr","disengage_suspect_present","lane_change_transition_present","active_core_present","late_stop_present","bridge_candidate","top_tier_peak_count","parse_errors","notes"
"toyota_seg_IGN_ON_20260418_180001_003","D:\Temp\20260312\raw_can_logs\20260418\raw_can_logs\toyota_seg_IGN_ON_20260418_180001_003.ndjson","entry_side","3","B","5285","2.46","1","1","0","0","1","0002","0002","3","1","1","1","1","b4-b5","0.717","0.215","","","","","no","0","0",""
"toyota_seg_IGN_ON_20260418_180229_004","D:\Temp\20260312\raw_can_logs\20260418\raw_can_logs\toyota_seg_IGN_ON_20260418_180229_004.ndjson","entry_side","3","B","5410","2.61","1","1","0","0","1","001b","001b","3","1","1","1","1","b4-b5","0.346","0.055","","","","","no","0","0",""
"toyota_seg_IGN_ON_20260418_180505_005","D:\Temp\20260312\raw_can_logs\20260418\raw_can_logs\toyota_seg_IGN_ON_20260418_180505_005.ndjson","entry_side","","C","5366","2.57","0","1","0","0","0","004e","0019","3","1","1","1","1","dual","0.054","0.068","","","","","no","0","0",""
"toyota_seg_IGN_ON_20260418_180740_006","D:\Temp\20260312\raw_can_logs\20260418\raw_can_logs\toyota_seg_IGN_ON_20260418_180740_006.ndjson","entry_side","","C","5286","2.53","0","1","0","0","0","f986","fe60","2","1","1","1","1","b4-b5","0.334","0.273","","","","","no","0","0",""
"toyota_seg_IGN_ON_20260418_181012_007","D:\Temp\20260312\raw_can_logs\20260418\raw_can_logs\toyota_seg_IGN_ON_20260418_181012_007.ndjson","companion_control","","C","3001","1.71","0","0","0","0","0","fff6","fff6","3","0","1","1","1","b6-b7","0.097","0.7","","","","","no","0","0",""
"toyota_all_20260426_015302_000","D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_015302_000.ndjson","entry_side","3","B","10400","4.94","1","1","0","0","1","0019","0019","3","1","1","1","1","dual","0.087","0.081","","","","","no","0","0",""
"toyota_all_20260426_015759_001","D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_015759_001.ndjson","entry_side","4.5_candidate","B","10405","4.89","1","1","1","0","2","ff4b","0001","2","1","1","1","1","dual","0.177","0.164","","","","","yes","6","0",""
"toyota_all_20260426_020252_002","D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_020252_002.ndjson","entry_side","","C","10469","5.03","0","1","0","0","0","fff5","fff3","2","1","1","1","1","b6-b7","0.019","0.153","","","","","no","0","0",""
"toyota_all_20260426_020754_003","D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_020754_003.ndjson","entry_side","","C","10242","4.83","0","1","0","0","0","fff7","fff6","2","1","1","1","1","b6-b7","0.219","0.469","","","","","no","0","0",""
"toyota_all_20260426_021244_004","D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_021244_004.ndjson","entry_side","","C","10520","5.05","0","1","0","0","0","ffec","0097","2","1","1","1","1","b6-b7","0.045","0.411","","","","","no","0","0",""
